codigoCanton;nombreCanton;idProvincia
206; ATACAMES;01
201;24 DE MAYO;08
128;AGUARICO;24
130;ALAUSÍ;17
160;ALFREDO BAQUERIZO MORENO;09
42;AMBATO;14
113;ANTONIO ANTE;15
153;ARCHIDONA;14
74;ARENILLAS;01
02;ATACAMES;01
152;ATAHUALPA;16
30;AZOGUES;17
186;BABA;09
87;BABAHOYO;22
150;BALAO;07
143;BALSAS;01
167;BALZAR;07
91;BAÑOS DE AGUA SANTA;10
41;BIBLIÁN;14
174;BOLÍVAR;01
171;BUENA FE;14
82;CALUMA;15
181;CALVAS;01
68;CAMILO PONCE ENRÍQUEZ;14
56;CAÑAR;24
203;CARLOS JULIO AROSEMENA TOLA;11
80;CASCALES;14
100;CATAMAYO;13
55;CAYAMBE;19
185;CELICA;03
192;CENTINELA DEL CONDOR;22
207;CEVALLOS;14
189;CHAGUARPAMBA;20
129;CHAMBO;01
92;CHILLANES;01
81;CHIMBO;17
64;CHINCHIPE;01
168;CHONE;03
20;CHORDELEG;07
136;CHUNCHI;12
131;COLTA;03
166;CORONEL MARCELINO MARIDUEÑA;18
94;COTACACHI;13
01;CUENCA;21
135;CUMANDÁ;04
124;CUYABENO;14
161;DAULE;02
76;DELEG;09
104;DURÁN;20
78;ECHEANDÍA;09
190;EL CARMEN;01
22;EL CHACO;13
173;EL EMPALME;23
142;EL GUABO;06
63;EL PAN;17
127;EL PANGUI;03
77;EL TAMBO;01
48;EL TRIUNFO;18
155;ELOY ALFARO;01
93;ESMERALDAS;17
114;ESPEJO;01
187;ESPÍNDOLA;13
200;FLAVIO ALFARO;01
138;GENERAL ANTONIO ELIZALDE;19
16;GIRÓN;17
145;GONZALO PIZARRO;08
184;GONZANAMÁ;14
57;GUACHAPALA;01
10;GUALACEO;07
27;GUALAQUIZA;05
125;GUAMOTE;12
132;GUANO;13
47;GUARANDA;13
05;GUAYAQUIL;07
17;HUAQUILLAS;21
18;IBARRA;03
49;ISABELA;03
134;JAMA;02
197;JARAMIJÓ;09
72;JIPIJAPA;21
198;JUNÍN;02
84;LA CONCORDIA;02
14;LA JOYA DE LOS SACHAS;22
101;LA LIBERTAD;23
117;LA MANÁ;13
38;LA TRONCAL;13
75;LAGO AGRIO;12
148;LAS LAJAS;07
90;LAS NAVES;02
70;LATACUNGA;02
06;LIMÓN INDANZA;18
24;LOGROÑO;02
26;LOJA;08
176;LOMAS DE SARGENTILLO;10
83;LORETO;20
141;MACARÁ;14
39;MACHALA;11
28;MANTA;16
144;MARCABELÍ;19
60;MEJÍA;11
98;MERA;24
79;MILAGRO;03
177;MIRA;09
194;MOCACHE;09
208;MOCHA;04
164;MONTALVO;08
107;MONTECRISTI;13
45;MONTÚFAR;17
08;MORONA;10
66;MUISNE;21
61;NABÓN;04
180;NANGARITZA;10
13;NARANJAL;10
103;NARANJITO;04
175;NOBOL;21
188;OLMEDO;05
34;OÑA;05
31;ORELLANA;05
112;OTAVALO;05
96;PABLO SEXTO;05
62;PAJÁN;15
191;PALANDA;08
205;PALENQUE;05
137;PALLATANGA;21
32;PALORA;06
182;PALTAS;18
119;PANGUA;19
209;PAQUISHA;22
15;PASAJE;06
11;PASTAZA;06
202;PATATE;06
35;PAUTE;06
52;PEDERNALES;07
163;PEDRO CARBO;13
179;PEDRO MONCAYO;06
65;PEDRO VICENTE MALDONADO;06
204;PENIPE;06
178;PIMAMPIRO;09
151;PINDAL;18
88;PIÑAS;24
157;PLAYAS;11
147;PORTOVELO;07
85;PORTOVIEJO;07
59;PUCARÁ;07
195;PUEBLOVIEJO;21
43;PUERTO LÓPEZ;19
36;PUERTO QUITO;07
118;PUJILÍ;07
110;PUTUMAYO;18
154;PUYANGO;09
126;QUERO;11
71;QUEVEDO;07
121;QUIJOS;15
106;QUININDÉ;11
172;QUINSALOMA;08
04;QUITO;08
156;RIO VERDE;09
54;RIOBAMBA;16
196;ROCAFUERTE;13
12;RUMIÑAHUI;09
120;SALCEDO;09
25;SALINAS;09
50;SAMBORONDÓN;09
95;SAN CRISTÓBAL;12
51;SAN FERNANDO;12
170;SAN JACINTO DE YAGUACHI;09
46;SAN JUAN BOSCO;09
122;SAN LORENZO;13
89;SAN MIGUEL;09
108;SAN MIGUEL DE LOS BANCOS;09
109;SAN MIGUEL DE URCUQUÍ;12
111;SAN PEDRO DE HUACA;12
139;SAN PEDRO DE PELILEO;09
86;SAN VICENTE;13
199;SANTA ANA;09
158;SANTA CLARA;09
33;SANTA CRUZ;04
03;SANTA ELENA;10
140;SANTA ELENA ;17
09;SANTA ISABEL;19
169;SANTA LUCIA;11
133;SANTA ROSA;11
19;SANTIAGO;11
58;SANTIAGO DE PÍLLARO;11
53;SANTO DOMINGO;11
123;SAQUISILÍ;12
97;SARAGURO;11
23;SEVILLA DE ORO;11
44;SHUSHUFINDI;11
116;SIGCHOS;13
37;SIGSIG;19
73;SUCRE;19
21;SUCÚA;12
115;SUCUMBÍOS;12
102;SUSCAL;12
07;TENA;13
149;TISALEO;13
67;TIWINTZA;13
159;TOSAGUA;13
105;TULCÁN;13
162;URBINA (EL SALITRE (LAS RAMAS) );13
193;VALENCIA;18
165;VENTANAS;15
40;VINCES;06
99;YANTZAZA;12
29;ZAMORA;08
146;ZAMORA (ZAMORA Y );18
183;ZAPOTILLO;18
69;ZARUMA;19
