codigoCiudad;nombreCiudad;latitud;longuitud;poblacion;idCanton
01;Guayaquil;-2.1833;-79.8833;2723665;05
02;Quito;-0.2186;-78.5097;2011388;04
03;Cuenca;-2.8974;-79.0045;329928;01
04;Santo Domingo de los Colorados;-0.2542;-79.1719;270875;53
05;Machala;-3.2667;-79.9667;231260;39
06;Eloy Alfaro;-2.1733;-79.8311;230839;155
07;Manta;-0.95;-80.7162;217553;28
08;Portoviejo;-1.0544;-80.4544;206682;85
09;Loja;-3.9906;-79.205;170280;26
10;Ambato;-1.2417;-78.6197;165185;42
11;Esmeraldas;0.95;-79.6667;154035;93
12;Quevedo;-1.0333;-79.45;150827;71
13;Riobamba;-1.6743;-78.6483;146324;54
14;Milagro;-2.1347;-79.5872;133508;79
15;Ibarra;0.3628;-78.13;131856;18
16;Babahoyo;-1.8167;-79.5167;90191;87
17;Sangolquí;-0.3344;-78.4475;75080;12
18;Pelileo;-1.3306;-78.5428;66836;139
19;Daule;-1.8667;-79.9833;65145;161
20;Latacunga;-0.9333;-78.6167;63842;70
21;Tulcán;0.8117;-77.7186;53558;105
22;Chone;-0.6833;-80.1;52810;168
23;Pasaje;-3.3269;-79.8049;52673;15
24;Santa Rosa;-3.4522;-79.9617;48929;133
25;Nueva Loja;0.0844;-76.8911;48562;75
26;Huaquillas;-3.4803;-80.2317;47706;17
27;Montecristi;-1.05;-80.6667;46312;107
28;Samborondón;-1.9611;-79.7256;42637;50
29;Puerto Francisco de Orellana;-0.4625;-76.9842;40730;31
30;Jipijapa;-1.3486;-80.5786;40232;72
31;Santa Elena;-2.2267;-80.8583;39681;03
32;Otavalo;0.2333;-78.2667;39354;112
33;Cayambe;0.0439;-78.1561;39028;55
34;San Jacinto de Buena Fe;-0.8932;-79.4907;38263;171
35;Ventanas;-1.45;-79.47;38168;165
36;Velasco Ibarra;-1.0439;-79.6383;35686;173
37;La Troncal;-2.4278;-79.3389;35259;38
38;Salinas;-2.2083;-80.9681;34719;25
39;Azogues;-2.7333;-78.8333;33848;30
40;Vinces;-1.55;-79.7333;30241;40
41;La Concordia;0.0069;-79.3958;29003;84
42;Rosa Zarate;0.3272;-79.4689;28928;106
43;Balzar;-1.36;-79.9;28794;167
44;Naranjito;-2.1667;-79.4653;28546;103
45;Naranjal;-2.6736;-79.6183;28487;13
46;Puyo;-1.483;-77.987;24881;11
47;Guaranda;-1.6056;-79.0031;23874;174
48;La Maná;-0.9417;-79.2347;23775;117
49;Tena;-0.989;-77.8159;23307;07
50;San Lorenzo de Esmeraldas;1.2864;-78.8353;23265;122
51;Catamayo;-3.9833;-79.35;22697;100
52;Pedernales;0.0719;-80.0508;21910;52
53;Atuntaqui;0.3325;-78.2136;21286;113
54;Bahía de Caráquez;-0.6;-80.425;20921;73
55;Puerto Quito;0.1272;-79.2531;20445;36
56;Pedro Carbo;-1.8167;-80.2333;20220;163
57;Macas;-2.3;-78.1167;18984;08
58;Yaguachi Nuevo;-2.12;-79.69;17806;170
59;Valencia;-0.9525;-79.3531;16983;193
60;Piñas;-3.6806;-79.6806;16981;88
61;San Gabriel;0.61;-77.84;16066;45
62;Atacames;0.8667;-79.8333;15463;02
63;Alausí;-2.19;-78.85;14294;130
64;Lomas de Sargentillo;-1.8833;-80.0833;13775;176
65;Muisne;0.61;-80.02;13393;66
66;Macará;-4.3833;-79.95;13035;141
67;Baños;-1.3964;-78.4247;12995;91
68;San Miguel de Salcedo;-1.05;-78.5833;12488;120
69;Zamora;-4.0692;-78.9567;12386;29
70;Puerto Ayora;-0.7444;-90.3139;11822;33
71;Valdez;1.2671;-78.9855;11441;155
72;Santa Cruz;-0.5333;-90.35;11262;33
73;Tosagua;-0.7864;-80.2342;10751;159
74;Píllaro;-1.1667;-78.5333;7444;58
75;Puerto Baquerizo Moreno;-0.9025;-89.6092;6533;160
76;Pedro Vicente Maldonado;0.0853;-79.0511;5561;65
77;Archidona;-0.9167;-77.7833;5478;153
78;Llacao;-2.8374;-78.9419;4501;01
79;Junín;-0.9278;-80.2058;4320;198
80;El Chaco;-0.3403;-77.8089;4026;22
